城市,攻击策略,攻击半径,健壮性
Quanzhou,权重池搜索的动态调权,500,0.073504
Shenyang,随机打击,0,0.222504
Shenyang,动态度贪心,0,0.127436
Shenyang,动态 k-core 贪心,0,0.119069
Shenyang,动态近似介数贪心,0,0.051500
Shenyang,动态分裂增益贪心,0,0.174702
Shenyang,边际收益驱动的自适应调权,0,0.121703
Shenyang,权重池搜索的动态调权,0,0.036482
Shenyang,随机打击,100,0.302234
Shenyang,动态度贪心,100,0.218355
Shenyang,动态 k-core 贪心,100,0.213173
Shenyang,动态近似介数贪心,100,0.073194
Shenyang,动态分裂增益贪心,100,0.260292
Shenyang,边际收益驱动的自适应调权,100,0.130713
Shenyang,权重池搜索的动态调权,100,0.075770
Shenyang,随机打击,300,0.367697
Shenyang,动态度贪心,300,0.317688
Shenyang,动态 k-core 贪心,300,0.316048
Shenyang,动态近似介数贪心,300,0.122770
Shenyang,动态分裂增益贪心,300,0.350512
Shenyang,边际收益驱动的自适应调权,300,0.218520
Shenyang,权重池搜索的动态调权,300,0.186511
Shenyang,随机打击,500,0.406518
Shenyang,动态度贪心,500,0.380995
Shenyang,动态 k-core 贪心,500,0.380626
Shenyang,动态近似介数贪心,500,0.141198
Shenyang,动态分裂增益贪心,500,0.389572
Shenyang,边际收益驱动的自适应调权,500,0.249827
Shenyang,权重池搜索的动态调权,500,0.224796
Zhengzhou,随机打击,0,0.201284
Zhengzhou,动态度贪心,0,0.121292
Zhengzhou,动态 k-core 贪心,0,0.110848
Zhengzhou,动态近似介数贪心,0,0.054049
Zhengzhou,动态分裂增益贪心,0,0.159225
Zhengzhou,边际收益驱动的自适应调权,0,0.028442
Zhengzhou,权重池搜索的动态调权,0,0.031354
Zhengzhou,随机打击,100,0.262405
Zhengzhou,动态度贪心,100,0.179899
Zhengzhou,动态 k-core 贪心,100,0.175177
Zhengzhou,动态近似介数贪心,100,0.070336
Zhengzhou,动态分裂增益贪心,100,0.246843
Zhengzhou,边际收益驱动的自适应调权,100,0.064146
Zhengzhou,权重池搜索的动态调权,100,0.061202
Zhengzhou,随机打击,300,0.350651
Zhengzhou,动态度贪心,300,0.250636
Zhengzhou,动态 k-core 贪心,300,0.253166
Zhengzhou,动态近似介数贪心,300,0.095137
Zhengzhou,动态分裂增益贪心,300,0.330630
Zhengzhou,边际收益驱动的自适应调权,300,0.140542
Zhengzhou,权重池搜索的动态调权,300,0.112079
Zhengzhou,随机打击,500,0.393119
Zhengzhou,动态度贪心,500,0.307347
Zhengzhou,动态 k-core 贪心,500,0.308334
Zhengzhou,动态近似介数贪心,500,0.133129
Zhengzhou,动态分裂增益贪心,500,0.362751
Zhengzhou,边际收益驱动的自适应调权,500,0.125864
Zhengzhou,权重池搜索的动态调权,500,0.159819
